mesh_size,L2_error
1.000000E-02,7.808620E-03
8.000000E-03,4.493465E-03
6.410323E-03,2.547363E-03
5.128247E-03,1.529863E-03
4.098370E-03,9.957415E-04
3.278695E-03,6.203808E-04
2.624680E-03,3.293196E-04
2.096435E-03,3.182940E-04
1.677853E-03,1.640430E-04
1.342282E-03,1.186831E-04
1.074114E-03,7.179946E-05
